source_id,projection_status,review_scope,reviewer,review_date,review_note
"SRC-001","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-002","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-003","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-004","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-005","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-006","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-007","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-008","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-009","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-010","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-011","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-012","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-013","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-014","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-015","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-016","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-017","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-018","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-019","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-020","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-021","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-022","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-023","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-024","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-025","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-026","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-027","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-028","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-029","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-030","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-031","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-032","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-033","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-034","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-035","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-036","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-037","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-038","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-039","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-040","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-041","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
"SRC-042","CURATED_CLAIM_POLARITY_PROJECTION","原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題","OpenAI Codex","2026-08-15 JST","比較対象・背景研究・否定された仮説を除外し、著者の提案・実験結果として記述された正極性atomだけを採用。"
