ID	DownloadURL	SourceURL	Status	Title
P001	https://arxiv.org/pdf/2004.04906.pdf	https://arxiv.org/abs/2004.04906	derived_arxiv	Dense Passage Retrieval for Open-Domain Question Answering
P002	https://arxiv.org/pdf/2002.08910.pdf	https://arxiv.org/abs/2002.08910	derived_arxiv	How Much Knowledge Can You Pack Into the Parameters of a Language Model?
P003	https://arxiv.org/pdf/2112.04426.pdf	https://arxiv.org/abs/2112.04426	derived_arxiv	Improving language models by retrieving from trillions of tokens
P004	https://arxiv.org/pdf/2009.02252.pdf	https://arxiv.org/abs/2009.02252	derived_arxiv	KILT: a Benchmark for Knowledge Intensive Language Tasks
P005	https://arxiv.org/pdf/1909.01066.pdf	https://arxiv.org/abs/1909.01066	derived_arxiv	Language Models as Knowledge Bases?
P006	https://arxiv.org/pdf/2007.01282.pdf	https://arxiv.org/abs/2007.01282	derived_arxiv	Leveraging Passage Retrieval with Generative Models for Open Domain Question Answering
P007	https://arxiv.org/pdf/2307.03172.pdf	https://arxiv.org/abs/2307.03172	derived_arxiv	Lost in the Middle: How Language Models Use Long Contexts
P008	https://arxiv.org/pdf/2002.08909.pdf	https://arxiv.org/abs/2002.08909	derived_arxiv	REALM: Retrieval-Augmented Language Model Pre-Training
P009	https://arxiv.org/pdf/2005.11401.pdf	https://arxiv.org/abs/2005.11401	derived_arxiv	Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks
P010	https://arxiv.org/pdf/2312.10997.pdf	https://arxiv.org/abs/2312.10997	derived_arxiv	Retrieval-Augmented Generation for Large Language Models: A Survey
P011	https://arxiv.org/pdf/2407.21059.pdf	https://arxiv.org/abs/2407.21059	derived_arxiv	Modular RAG: Transforming RAG Systems into LEGO-like Reconfigurable Frameworks
P012	https://arxiv.org/pdf/2210.03629.pdf	https://arxiv.org/abs/2210.03629	derived_arxiv	ReAct
P013	https://arxiv.org/pdf/2310.11511.pdf	https://arxiv.org/abs/2310.11511	derived_arxiv	Self-RAG
P014	https://www.vldb.org/pvldb/vol8/p1792-Akidau.pdf	https://dl.acm.org/doi/10.14778/2824032.2824076	confirmed	The Dataflow Model
P015	https://arxiv.org/pdf/2302.04761.pdf	https://arxiv.org/abs/2302.04761	derived_arxiv	Toolformer
P016	https://arxiv.org/pdf/1702.08734.pdf	https://arxiv.org/abs/1702.08734	derived_arxiv	FAISS
P017	https://arxiv.org/pdf/1603.09320.pdf	https://arxiv.org/abs/1603.09320	derived_arxiv	HNSW
P018	https://arxiv.org/pdf/1912.13318.pdf	https://arxiv.org/abs/1912.13318	derived_arxiv	LayoutLM: Pre-training of Text and Layout for Document Image Understanding
P019	https://arxiv.org/pdf/2205.13147.pdf	https://arxiv.org/abs/2205.13147	derived_arxiv	Matryoshka Representation Learning
P020	https://arxiv.org/pdf/2210.07316.pdf	https://arxiv.org/abs/2210.07316	derived_arxiv	MTEB
P021	https://arxiv.org/pdf/2308.13418.pdf	https://arxiv.org/abs/2308.13418	derived_arxiv	Nougat: Neural Optical Understanding for Academic Documents
P022	https://arxiv.org/pdf/2111.15664.pdf	https://arxiv.org/abs/2111.15664	derived_arxiv	OCR-free Document Understanding Transformer
P024	https://arxiv.org/pdf/1908.10084.pdf	https://arxiv.org/abs/1908.10084	derived_arxiv	Sentence-BERT
P025	https://aclanthology.org/J97-1003.pdf	https://aclanthology.org/J97-1003/	derived_acl	TextTiling: Segmenting Text into Multi-paragraph Subtopic Passages
P026	https://arxiv.org/pdf/2007.00808.pdf	https://arxiv.org/abs/2007.00808	derived_arxiv	ANCE
P027	https://arxiv.org/pdf/2104.08663.pdf	https://arxiv.org/abs/2104.08663	derived_arxiv	BEIR
P028	https://arxiv.org/pdf/2004.12832.pdf	https://arxiv.org/abs/2004.12832	derived_arxiv	ColBERT
P029	https://arxiv.org/pdf/2112.09118.pdf	https://arxiv.org/abs/2112.09118	derived_arxiv	Contriever
P030	https://arxiv.org/pdf/2212.10496.pdf	https://arxiv.org/abs/2212.10496	derived_arxiv	HyDE
P031	https://arxiv.org/pdf/2303.07678.pdf	https://arxiv.org/abs/2303.07678	derived_arxiv	Query2doc
P032	https://plg.uwaterloo.ca/~gvcormac/cormacksigir09-rrf.pdf	https://dl.acm.org/doi/10.1145/1571941.1572114	confirmed	Reciprocal Rank Fusion
P033	https://arxiv.org/pdf/2107.05720.pdf	https://arxiv.org/abs/2107.05720	derived_arxiv	SPLADE
P034	https://www.staff.city.ac.uk/~sbrp622/papers/foundations_bm25_review.pdf	https://doi.org/10.1561/1500000019	confirmed	The Probabilistic Relevance Framework: BM25 and Beyond
P035	https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/MSR-TR-2010-82.pdf	https://www.microsoft.com/en-us/research/publication/from-ranknet-to-lambdarank-to-lambdamart-an-overview/	confirmed	From RankNet to LambdaRank to LambdaMART
P036	https://arxiv.org/pdf/2310.05736.pdf	https://arxiv.org/abs/2310.05736	derived_arxiv	LLMLingua
P037	https://arxiv.org/pdf/2310.06839.pdf	https://arxiv.org/abs/2310.06839	derived_arxiv	LongLLMLingua
P038	https://www.cs.cmu.edu/~jgc/publication/The_Use_MMR_Diversity_Based_LTMIR_1998.pdf	https://dl.acm.org/doi/10.1145/290941.291025	confirmed	MMR
P039	https://arxiv.org/pdf/2003.06713.pdf	https://arxiv.org/abs/2003.06713	derived_arxiv	Document Ranking with a Pretrained Sequence-to-Sequence Model
P040	https://arxiv.org/pdf/1901.04085.pdf	https://arxiv.org/abs/1901.04085	derived_arxiv	Passage Re-ranking with BERT
P041	https://arxiv.org/pdf/2304.09542.pdf	https://arxiv.org/abs/2304.09542	derived_arxiv	RankGPT
P042	https://arxiv.org/pdf/2310.04408.pdf	https://arxiv.org/abs/2310.04408	derived_arxiv	RECOMP
P043	https://arxiv.org/pdf/2305.14627.pdf	https://arxiv.org/abs/2305.14627	derived_arxiv	ALCE: Enabling Large Language Models to Generate Text with Citations
P044	https://arxiv.org/pdf/2309.11495.pdf	https://arxiv.org/abs/2309.11495	derived_arxiv	Chain-of-Verification
P045	https://arxiv.org/pdf/2305.14251.pdf	https://arxiv.org/abs/2305.14251	derived_arxiv	FActScore
P046	https://arxiv.org/pdf/2305.06983.pdf	https://arxiv.org/abs/2305.06983	derived_arxiv	FLARE
P047	https://arxiv.org/pdf/2302.12173.pdf	https://arxiv.org/abs/2302.12173	derived_arxiv	Not what you've signed up for: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection
P048	https://arxiv.org/pdf/2210.08726.pdf	https://arxiv.org/abs/2210.08726	derived_arxiv	RARR
P049	https://arxiv.org/pdf/2112.09332.pdf	https://arxiv.org/abs/2112.09332	derived_arxiv	WebGPT
P050	https://arxiv.org/pdf/2311.09476.pdf	https://arxiv.org/abs/2311.09476	derived_arxiv	ARES
P052	https://aclanthology.org/N18-1074.pdf	https://aclanthology.org/N18-1074/	derived_acl	FEVER
P053	https://arxiv.org/pdf/2303.16634.pdf	https://arxiv.org/abs/2303.16634	derived_arxiv	G-Eval
P054	https://arxiv.org/pdf/2306.05685.pdf	https://arxiv.org/abs/2306.05685	derived_arxiv	Judging LLM-as-a-Judge
